#id	length	evalue	coverge	probability	score
Os0157_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-RT	173	2.1e-104	100.0	1.0	340.5
Os0157_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-RH	145	1.4e-86	100.0	1.0	281.7
Os0157_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-INT	308	1.3e-161	100.0	0.98	530.6
Os0157_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-CHD	77	3.8e-34	100.0	0.99	110.5
Os0158_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	120	1.8e-34	100.0	0.97	112.3
Os0159_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	118	1.4e-33	100.0	0.97	109.8
Os0159_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	2.2e-27	100.0	0.99	89.0
Os0159_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	67	2.6e-15	84.4	0.89	50.4
Os0160_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-GAG	93	2.4e-20	100.0	0.97	66.3
Os0160_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-PROT	72	2.3e-30	100.0	0.98	98.4
Os0160_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-INT	200	1.6e-75	100.0	0.99	246.7
Os0160_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RT	256	3.1e-111	100.0	0.98	364.5
Os0160_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RH	126	2.8e-50	96.9	0.99	163.3
Os0162_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-GAG	128	1.1e-35	100.0	0.98	116.5
Os0162_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-RT	192	5.7e-103	100.0	0.99	336.4
Os0162_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-RH	149	8.4e-73	100.0	0.98	237.1
Os0162_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-INT	197	2.1e-90	61.0	0.99	297.0
Os0168_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	89	5.5e-16	98.9	0.97	52.7
Os0168_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	72	3.4e-27	100.0	0.99	88.7
Os0168_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	195	2.8e-80	100.0	0.97	262.4
Os0168_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	256	4.6e-115	100.0	0.98	376.9
Os0168_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	114	4.4e-50	89.0	0.96	162.8
Os0170_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	3.6e-27	100.0	0.98	89.1
Os0170_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	4.5e-29	100.0	1.0	94.4
Os0170_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	9.8e-88	100.0	0.98	286.2
Os0170_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	3.6e-57	100.0	0.99	186.5
Os0170_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	219	4.2e-82	67.5	0.92	269.2
Os0170_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	76	5.2e-20	97.4	0.93	65.4
Os0171_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-GAG	46	1.6e-09	46.2	0.93	31.9
Os0175_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	118	7.6e-32	100.0	0.98	104.2
Os0175_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	8.5e-26	100.0	0.99	83.9
Os0175_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	169	7.3e-91	100.0	0.99	296.4
Os0175_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	3.6e-64	100.0	1.0	209.1
Os0175_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	308	9.5e-142	99.0	0.99	465.1
Os0175_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	71	9.5e-19	100.0	0.92	61.4
Os0176_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-GAG	50	3.3e-13	52.7	0.98	43.6
Os0176_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-PROT	70	9.4e-31	100.0	0.97	99.9
Os0176_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-INT	201	1.6e-95	100.0	1.0	312.1
Os0176_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-RT	256	8.7e-126	99.6	0.99	412.2
Os0176_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-RH	126	3.6e-66	100.0	1.0	214.6
Os0177#DNAauto/MULE|Class_II/Subclass_1/TIR/MuDR_Mutator:MuDR-TPase	221	2.2e-70	100.0	0.97	229.8
Os0178_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	1.1e-33	100.0	0.98	110.1
Os0178_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	2.6e-24	100.0	1.0	79.2
Os0178_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	3.3e-95	100.0	1.0	310.5
Os0178_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	2e-64	100.0	1.0	210.0
Os0178_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	308	4.7e-151	100.0	1.0	495.6
Os0178_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	76	1.3e-20	98.7	0.97	67.3
Os0183_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	88	1.5e-14	95.6	0.96	48.1
Os0183_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	72	5.3e-30	100.0	0.99	97.6
Os0183_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	195	8.9e-77	100.0	0.97	250.9
Os0183_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	254	3.5e-107	100.0	0.97	351.1
Os0183_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	110	8.2e-52	85.0	0.98	168.4
Os0189_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	4.6e-34	100.0	0.99	111.3
Os0189_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	5.1e-25	100.0	1.0	81.4
Os0189_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	7.9e-89	100.0	1.0	289.7
Os0189_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	4.9e-66	100.0	1.0	215.2
Os0189_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	307	2.3e-145	100.0	0.99	477.0
Os0189_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	72	1.1e-19	97.4	0.95	64.3
Os0190_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	71	1.8e-23	100.0	0.97	76.7
Os0190_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	194	3e-82	100.0	0.99	268.8
Os0190_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	256	3e-122	100.0	0.99	400.5
Os0190_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	91	7.5e-33	58.3	0.94	107.1
Os0195_INT_RIRE1#LTR/Copia|Class_I/LTR/Ty1_copia/Angela:Ty1-GAG	89	3e-38	100.0	0.99	124.0
Os0195_INT_RIRE1#LTR/Copia|Class_I/LTR/Ty1_copia/Angela:Ty1-PROT	74	6e-38	100.0	1.0	122.7
Os0195_INT_RIRE1#LTR/Copia|Class_I/LTR/Ty1_copia/Angela:Ty1-INT	197	5.5e-117	100.0	1.0	382.4
Os0195_INT_RIRE1#LTR/Copia|Class_I/LTR/Ty1_copia/Angela:Ty1-RT	258	7.5e-157	100.0	1.0	514.1
Os0195_INT_RIRE1#LTR/Copia|Class_I/LTR/Ty1_copia/Angela:Ty1-RH	129	5.8e-73	99.2	0.99	236.7
Os0196_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-GAG	100	8.2e-56	80.5	0.98	181.1
Os0196_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-RH	105	2.3e-06	55.6	0.85	21.4
Os0196_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-INT	91	6.3e-31	25.5	0.94	101.6
Os0199_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	1.1e-32	100.0	0.97	106.9
Os0199_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	1.4e-23	100.0	0.99	76.8
Os0199_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	165	3.1e-88	93.1	0.99	287.8
Os0199_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	7.6e-62	100.0	1.0	201.6
Os0199_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	308	2.9e-136	100.0	1.0	447.1
Os0199_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	76	1.6e-25	98.7	0.98	83.0
Os0200_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-GAG	129	2.7e-44	100.0	0.97	144.0
Os0200_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-PROT	74	2.3e-23	100.0	1.0	76.4
Os0200_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-RT	173	6.2e-105	100.0	1.0	342.3
Os0200_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-RH	145	1.8e-86	100.0	1.0	281.4
Os0200_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-INT	308	9.8e-171	100.0	1.0	560.6
Os0200_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-CHD	77	5e-30	100.0	0.99	97.3
Os0203#DNAauto/CACTG|Class_II/Subclass_1/TIR/PIF_Harbinger:Harbinger-TPase	143	1.8e-50	99.3	0.99	164.9
Os0210_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-GAG	93	2.7e-29	100.0	0.99	95.0
Os0210_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-PROT	72	1.1e-28	100.0	0.99	93.0
Os0210_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-INT	162	4.4e-56	77.5	0.98	183.3
Os0210_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RT	256	1.9e-120	100.0	0.99	394.7
Os0210_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ivana:Ty1-RH	127	2.7e-55	100.0	1.0	179.5
Os0211_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	120	3.8e-24	96.7	0.92	78.9
Os0211_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-PROT	80	2.7e-25	100.0	0.97	82.7
Os0211_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RT	169	5.3e-80	90.8	0.98	260.9
Os0211_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-RH	55	1.5e-58	21.9	0.95	192.1
Os0211_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	309	6.6e-125	100.0	0.99	410.4
Os0217_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	122	8.1e-31	100.0	0.97	100.9
Os0217_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	2.9e-21	100.0	1.0	69.4
Os0217_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	2.7e-91	100.0	1.0	297.8
Os0217_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	1.1e-61	100.0	0.99	201.1
Os0217_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	308	1.3e-140	100.0	1.0	461.4
Os0217_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	76	2.5e-26	98.7	0.97	85.7
Os0224#LINE/unknown|Class_I/LINE:LINE-RT	143	4.8e-24	47.8	0.85	78.9
Os0228#DNAauto/hAT|Class_II/Subclass_1/TIR/hAT:hAT-TPase	299	7.7e-72	66.2	0.83	236.9
Os0232_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-GAG	130	4.1e-53	100.0	1.0	172.8
Os0232_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-PROT	75	1.1e-36	100.0	1.0	118.8
Os0232_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-RT	173	2.2e-106	100.0	1.0	346.9
Os0232_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-RH	145	8.3e-78	100.0	1.0	253.4
Os0232_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-INT	308	4.8e-172	100.0	1.0	565.0
Os0232_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-CHDCR	22	4.6e-05	33.3	0.96	17.6
Os0232_LTR#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-CHDCR	38	1.7e-05	63.3	0.68	19.0
Os0233_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	89	3.9e-16	100.0	0.98	53.2
Os0233_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	72	2.5e-25	100.0	0.98	82.7
Os0233_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	173	1e-60	87.1	0.95	198.5
Os0233_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	203	7e-95	78.2	0.97	310.8
Os0233_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	1.6e-53	100.0	0.97	173.9
Os0234_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	122	5.8e-29	100.0	0.97	94.9
Os0234_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	1.3e-20	100.0	1.0	67.4
Os0234_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	7.1e-90	100.0	1.0	293.2
Os0234_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	1.1e-55	100.0	0.98	181.7
Os0234_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	308	1.2e-140	100.0	1.0	461.5
Os0234_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	76	5.3e-25	100.0	0.98	81.4
Os0235#DNAauto/MULE|Class_II/Subclass_1/TIR/MuDR_Mutator:MuDR-TPase	220	3.3e-62	100.0	0.98	203.2
Os0237_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	2.8e-27	100.0	0.95	89.4
Os0237_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	3.8e-24	100.0	0.99	78.6
Os0237_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	2.9e-94	100.0	1.0	307.4
Os0237_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	5.5e-64	100.0	1.0	208.6
Os0237_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	307	3.3e-143	100.0	0.99	469.9
Os0237_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	76	3.5e-19	98.7	0.95	62.8
Os0242_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	6.6e-29	100.0	0.95	94.7
Os0242_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	3e-18	100.0	0.99	59.8
Os0242_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	178	5e-86	99.4	0.97	280.6
Os0242_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	1.3e-57	100.0	0.99	187.9
Os0242_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	293	3e-127	94.2	0.98	417.5
Os0245_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-GAG	90	1.9e-33	100.0	1.0	108.2
Os0245_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Tork:Ty1-PROT	72	1.8e-29	100.0	1.0	95.7
Os0253_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-GAG	84	2.4e-30	84.9	0.97	98.6
Os0253_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-PROT	70	8.4e-27	100.0	0.98	87.2
Os0253_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-INT	201	3.9e-90	100.0	1.0	294.6
Os0253_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-RT	255	8.7e-128	100.0	0.99	418.8
Os0253_INT#LTR/Copia|Class_I/LTR/Ty1_copia/SIRE:Ty1-RH	126	1.5e-69	99.2	0.99	225.5
Os0254_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	118	2.6e-31	100.0	0.98	102.5
Os0254_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	3.6e-26	100.0	1.0	85.1
Os0254_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	6.4e-95	100.0	1.0	309.6
Os0254_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	5.4e-66	100.0	1.0	215.1
Os0254_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	307	1.4e-135	98.4	0.99	444.8
Os0254_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	71	3.5e-19	100.0	0.89	62.8
Os0258_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	90	9.3e-10	80.0	0.89	32.7
Os0258_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	74	3e-22	100.0	0.93	72.8
Os0258_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	195	1.7e-63	100.0	0.96	207.6
Os0258_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	256	2.3e-117	100.0	0.99	384.5
Os0258_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	123	3.7e-57	96.1	0.98	185.7
Os0259_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-GAG	90	1.2e-14	100.0	0.96	48.4
Os0259_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-PROT	74	1.6e-22	100.0	0.94	73.7
Os0259_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-INT	194	1.3e-64	100.0	0.98	211.2
Os0259_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RT	256	3.5e-106	100.0	0.99	347.8
Os0259_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ale:Ty1-RH	127	6.2e-56	100.0	0.96	181.8
Os0261_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-GAG	128	7.7e-30	100.0	0.96	97.6
Os0262_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-GAG	128	1.8e-34	100.0	0.95	112.6
Os0262_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-PROT	79	1.7e-06	83.5	0.9	21.9
Os0262_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-RT	192	4.5e-103	100.0	0.99	336.8
Os0262_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-RH	149	6.2e-79	100.0	1.0	257.0
Os0262_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila:Ty3-INT	314	3.1e-143	100.0	0.99	470.5
Os0263_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	2.8e-32	100.0	0.99	105.6
Os0263_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	69	4e-21	90.5	0.99	68.9
Os0263_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	9.9e-89	100.0	1.0	289.4
Os0263_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	2.2e-63	100.0	1.0	206.6
Os0263_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	307	1.8e-136	100.0	0.99	447.8
Os0263_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	74	7.2e-14	98.7	0.86	45.7
Os0267_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	108	4.3e-24	86.3	0.96	79.2
Os0267_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	45	2.3e-20	60.8	0.97	66.5
Os0267_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	1.7e-79	100.0	0.97	259.4
Os0267_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	1.5e-61	100.0	1.0	200.7
Os0267_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	308	2.3e-132	100.0	0.99	434.3
Os0267_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	76	5.2e-22	98.7	0.96	71.8
Os0268_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	120	1.5e-44	100.0	0.98	144.9
Os0272_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	9.6e-32	100.0	0.98	103.8
Os0272_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	2.3e-28	100.0	1.0	92.2
Os0272_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	8.4e-92	100.0	1.0	299.4
Os0272_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	145	1.4e-66	100.0	1.0	217.0
Os0272_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	307	4.6e-140	100.0	0.98	459.5
Os0272_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	73	1.1e-18	97.4	0.94	61.2
Os0272_LTR#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/chromo-unclass:Ty3-CHD	40	8.3e-05	40.5	0.91	16.4
Os0274_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-GAG	92	1.4e-24	73.1	0.95	80.5
Os0278_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-GAG	125	4.1e-36	100.0	0.98	117.8
Os0278_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-PROT	75	1.3e-37	100.0	1.0	121.8
Os0278_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-RT	173	2.9e-101	100.0	1.0	330.3
Os0278_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-RH	145	3.7e-72	100.0	0.99	235.1
Os0278_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-INT	308	2.5e-160	100.0	0.99	526.5
Os0278_LTR#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-CHDCR	30	3e-06	63.3	0.73	21.4
Os0282_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Ikeros:Ty1-GAG	89	1.9e-37	100.0	0.99	121.4
